City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
322,Katobu,ID,78.33,overcast clouds,-4.9408,122.5276,La Ode Husein
324,Faya,SA,75.2,clear sky,18.3851,42.4509,مقبرة ال مجمل
327,Sao Mateus,BR,83.66,overcast clouds,-18.7161,-39.8589,Hotel Rio Norte
329,Neuquen,AR,75.2,clear sky,-38.9516,-68.0591,Hotel del Comahue
331,Colares,PT,71.01,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
337,Kieta,PG,78.3,light rain,-6.2167,155.6333,Uruna Bay Retreat
341,Emerald,AU,73.4,broken clouds,-23.5333,148.1667,The Irish Village
342,Delray Beach,US,72.0,overcast clouds,26.4615,-80.0728,Opal Grand Resort
344,Samarai,PG,82.15,overcast clouds,-10.6167,150.6667,Nuli Sapi
348,Hit,IQ,72.19,clear sky,33.6416,42.8251,صالون زيرو
350,Qeshm,IR,82.4,haze,26.9581,56.2719,Qeshm Kavan Hotel
351,Labuhan,ID,77.14,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
354,Inhambane,MZ,80.6,few clouds,-23.865,35.3833,Oceano
356,Somerset East,ZA,69.67,clear sky,-32.7217,25.588,Mbali Lodge
360,Samana,DO,78.8,broken clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
366,Pauini,BR,85.77,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
368,Gwadar,PK,80.64,clear sky,25.1216,62.3254,Sadaf Resort
371,Axim,GH,84.6,scattered clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
372,Shadegan,IR,80.6,clear sky,30.6497,48.6647,مسافر خانه ابو ولید
373,Bitung,ID,77.0,few clouds,1.4451,125.1824,K2 Lembeh
374,Ampanihy,MG,72.36,scattered clouds,-24.7,44.75,Angora Hotel
379,Santa Fe,AR,84.0,broken clouds,-31.6333,-60.7,Conquistador Hotel
380,Port Blair,IN,80.24,clear sky,11.6667,92.75,Welcomhotel Bay Island Port Blair
381,Hoshangabad,IN,88.25,clear sky,22.75,77.7167,STARiHOTELS Hoshangabad
384,Port Macquarie,AU,69.8,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
385,Cairns,AU,77.0,light rain,-16.9167,145.7667,Mantra Trilogy Cairns
386,Cabo San Lucas,MX,80.6,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
392,Jacmel,HT,82.4,broken clouds,18.2342,-72.5347,Hotel Florita
393,Dong Hoi,VN,74.73,few clouds,17.4833,106.6,Nam Long Hotel
394,Bintulu,MY,77.0,moderate rain,3.1667,113.0333,900 Boutique INN
402,Natal,BR,86.0,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
406,Phirangipuram,IN,87.8,haze,16.3,80.2667,Carmel Girls Hostel(Universal College Of Engineering And Technology Hostel)
411,Itarema,BR,85.03,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
414,Kamina,CD,71.55,light rain,-8.7386,24.9906,Guest House Florvia
422,Dingle,PH,76.17,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
423,Padang,ID,75.2,few clouds,-0.9492,100.3543,Mercure Padang
426,Lufilufi,WS,83.03,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
428,Tocopilla,CL,72.5,broken clouds,-22.092,-70.1979,Hotel Galvarino
431,Singaparna,ID,72.97,light rain,-7.3515,108.111,Wisma Dewi Hotel
432,Aguazul,CO,88.9,overcast clouds,5.1728,-72.5471,CENTRO VACACIONAL & HOTEL CAMPESTRE LAGO CENTER
433,Rio Grande,BR,79.0,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
434,San Carlos De Bariloche,AR,72.0,clear sky,-41.1456,-71.3082,Hotel Patagonia
435,Chinhoyi,ZW,71.46,clear sky,-17.3667,30.2,Msasa Guest House Chinhoyi (Wendy Shaw)
442,Mayumba,GA,81.41,overcast clouds,-3.432,10.6554,LIKWALE LODGE
445,Sakakah,SA,75.2,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
447,Lorengau,PG,80.6,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
453,Vinh Yen,VN,71.6,broken clouds,21.31,105.5967,Ngoc Lan Hotel - Vinh Phuc
457,Abu Dhabi,AE,77.0,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
458,Khatima,IN,76.24,scattered clouds,28.9167,79.9667,Paradise Guest House and Restaurant
460,Bugko,PH,79.79,broken clouds,12.5356,124.7923,Sangkay Beach Resort
461,Cidreira,BR,75.09,clear sky,-30.1811,-50.2056,Hotel Castelo
462,Qui Nhon,VN,77.4,scattered clouds,13.7667,109.2333,Hoang Yen Canary Hotel
464,Mount Isa,AU,73.4,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
465,Maumere,ID,77.86,moderate rain,-8.6199,122.2111,Sylvia Hotel
466,Matara,LK,78.1,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
468,Puerto Escondido,MX,86.0,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
469,Ikwiriri,TZ,75.65,overcast clouds,-7.9562,38.9716,Greenland lodge
470,Kloulklubed,PW,77.0,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
471,San Policarpo,PH,81.82,broken clouds,12.1791,125.5072,JM Lodge
475,Cuamba,MZ,69.78,light rain,-14.8031,36.5372,Hotel Vision
476,Omboue,GA,81.68,light rain,-1.5746,9.2618,Hotel Olako
477,Port-Gentil,GA,87.8,light rain,-0.7193,8.7815,Fengshui Residence
480,Manokwari,ID,78.37,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
482,Hobyo,SO,83.52,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
485,Aswan,EG,80.62,clear sky,24.0934,32.907,Nuba Nile
487,Menongue,AO,73.47,scattered clouds,-14.6585,17.691,Ritz Lauca
491,Douglas,US,70.0,clear sky,41.3,-96.167,Hilton Garden Inn Omaha West
492,Gorontalo,ID,76.01,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
494,Bosaso,SO,80.1,scattered clouds,11.2842,49.1816,Red Sea Hotel
504,Veraval,IN,79.45,clear sky,20.9,70.3667,Lords Inn Somnath
505,Rajapur,IN,86.74,clear sky,25.3833,81.15,B.K. Computer & Janseva Kendra
506,Noumea,NC,77.0,clear sky,-22.2763,166.4572,Hôtel Le Lagon
509,Agua Dulce,MX,75.2,few clouds,18.1333,-94.1333,Hotel Victoria
511,Harlingen,US,75.0,scattered clouds,26.1906,-97.6961,Courtyard by Marriott Harlingen
513,Vassouras,BR,82.4,few clouds,-22.4039,-43.6625,OYO Mara Express
515,Mattru,SL,88.72,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
516,Comodoro Rivadavia,AR,71.6,clear sky,-45.8667,-67.5,Austral Hotel
518,Wewak,PG,78.8,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
520,Kochi,IN,84.2,haze,9.9399,76.2602,Hotel Abad
522,Farafangana,MG,78.66,clear sky,-22.8167,47.8333,Miarina
523,The Valley,AI,82.4,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
538,Santa Vitoria Do Palmar,BR,76.33,clear sky,-33.5189,-53.3681,Hostel Comodoro
539,Acarau,BR,84.74,overcast clouds,-2.8856,-40.12,castelo pizzaria
540,Eyl,SO,81.77,few clouds,7.9803,49.8164,Amiin Hotel
542,Hurghada,EG,80.6,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
549,Waingapu,ID,77.83,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
552,Tarakan,ID,81.14,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
554,Yurimaguas,PE,73.4,broken clouds,-5.9,-76.0833,Rio Huallaga Hotel & Business Center
557,Mackay,AU,73.99,light rain,-21.15,149.2,International Lodge Motel
558,Mineiros,BR,84.85,broken clouds,-17.5694,-52.5511,Pilões Palace Hotel
559,Namatanai,PG,77.86,moderate rain,-3.6667,152.4333,Namatanai Hotel
560,Abu Kamal,SY,70.61,clear sky,34.4506,40.9171,محطة التلفاز
564,Sal Rei,CV,82.4,clear sky,16.1833,-22.9167,Marine Club Beach Resort
566,Letlhakane,BW,82.4,few clouds,-21.4167,25.5833,Motswedi Hotel P650
575,Moron,AR,80.01,clear sky,-34.6534,-58.6198,Hotel Morón
576,Hambantota,LK,78.8,clear sky,6.1241,81.1185,Bungalow 63
580,Olinda,BR,82.4,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
581,Daloa,CI,88.5,broken clouds,6.8774,-6.4502,Imans Hotel Daloa
585,Prainha,BR,86.72,overcast clouds,-1.8,-53.48,Casa Rocha
586,Elat,IL,82.4,clear sky,29.5581,34.9482,Club Hotel Eilat
587,Ajmer,IN,83.84,clear sky,26.45,74.6333,OYO 862 Hotel Embassy
588,Salinopolis,BR,83.61,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
589,Maryborough,AU,73.0,light rain,-25.5333,152.7,Blue Shades Motel
590,Abha,SA,75.2,clear sky,18.2164,42.5053,Abha Hotel
591,El Vigia,VE,80.8,overcast clouds,8.6219,-71.6506,Liceo Bolivariano 19 De Abril
594,Grand Gaube,MU,81.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
596,Sur,OM,86.4,clear sky,22.5667,59.5289,Sur Plaza Hotel
604,Saint-Paul,RE,82.4,clear sky,-21.0096,55.2707,Boucan Canot
607,Santiago Del Estero,AR,79.41,overcast clouds,-27.7951,-64.2615,Apartamentos Castelli 90
610,Saucillo,MX,69.71,clear sky,28.0167,-105.2833,Hotel La Posada de San Judas Tadeo
612,Acapulco,MX,82.4,haze,16.8634,-99.8901,HS Hotsson Smart Acapulco
615,Tabou,CI,83.34,light rain,4.423,-7.3528,hotêl doufoulougou
617,Manggar,ID,80.83,overcast clouds,-2.8833,108.2667,Guest Hotel
619,Mana,GF,81.59,overcast clouds,5.6592,-53.7767,LE SAMANA
624,Arrecife,ES,73.4,few clouds,28.963,-13.5477,Hotel Lancelot
628,Kiunga,PG,73.51,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
629,Belle Fourche,US,71.6,clear sky,44.6714,-103.8522,Kings Inn
631,Lahad Datu,MY,76.01,overcast clouds,5.0268,118.32700000000001,The 27th House
633,Payakumbuh,ID,69.55,overcast clouds,-0.2202,100.6308,OYO 3114 Homestay Dalimo
638,Saint-Georges,GD,84.2,few clouds,12.0564,-61.7485,Siesta Hotel
640,Inirida,CO,81.77,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
646,Takoradi,GH,84.43,scattered clouds,4.8845,-1.7554,Raybow International Hotel
655,Vao,NC,76.1,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
656,Quelimane,MZ,84.2,few clouds,-17.8786,36.8883,Hotel Flamingo
659,Soyo,AO,87.8,few clouds,-6.1349,12.3689,Hotel Mpampa
660,Luxor,EG,87.8,clear sky,25.6989,32.6421,Iberotel Luxor
661,La Joya,MX,79.0,clear sky,18.6667,-99.4667,HOTEL BUGAMBILIAS
663,Sakaraha,MG,70.03,light rain,-22.9,44.5333,Le Relais
664,Buta,CD,87.85,broken clouds,2.7858,24.73,HOTEL BISO NA BISO
669,Nabire,ID,75.25,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
672,Villamontes,BO,80.56,light rain,-21.25,-63.5,Hotel Raldes
674,Diaz,PH,75.02,clear sky,15.8463,120.8347,Luna Este Barangay Hall
676,Touros,BR,86.0,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
678,Mossendjo,CG,82.0,overcast clouds,-2.9506,12.7261,HOTEL D'ASSISE
679,Benghazi,LY,77.43,clear sky,32.1167,20.0667,Tibesti Hotel
682,Butterworth,MY,86.0,few clouds,5.3991,100.3638,Cititel Penang
684,Kapit,MY,74.59,light rain,2.0167,112.9333,Hotel Meligai Kapit
685,Ilo,PE,73.26,overcast clouds,-17.6394,-71.3375,Torreblanca Hotel
