City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
554,Yurimaguas,PE,-5.9,-76.0833,73.4,100,75,3.2,broken clouds
555,Shetpe,KZ,44.1667,52.1167,52.39,56,51,9.75,broken clouds
556,Pankrushikha,RU,53.8319,80.3406,26.82,89,26,8.57,scattered clouds
557,Mackay,AU,-21.15,149.2,73.99,94,90,6.91,light rain
558,Mineiros,BR,-17.5694,-52.5511,84.85,41,79,8.72,broken clouds
559,Namatanai,PG,-3.6667,152.4333,77.86,85,97,6.8,moderate rain
560,Abu Kamal,SY,34.4506,40.9171,70.61,29,0,7.23,clear sky
561,Khani,GE,41.9563,42.9566,68.0,34,0,5.75,clear sky
562,Walla Walla,US,46.0646,-118.343,57.0,54,1,5.75,clear sky
563,Dinghai,CN,26.2847,119.7936,60.8,77,90,13.42,overcast clouds
564,Sal Rei,CV,16.1833,-22.9167,82.4,51,0,11.5,clear sky
565,Willmar,US,45.1219,-95.0433,62.6,29,1,12.66,clear sky
566,Letlhakane,BW,-21.4167,25.5833,82.4,34,22,7.52,few clouds
567,Vostochnyy,RU,55.8167,37.8667,41.0,48,0,11.18,light rain
568,Gat,IL,31.61,34.7642,64.0,55,0,1.01,clear sky
569,Stornoway,GB,58.2093,-6.3865,46.4,57,40,33.38,scattered clouds
570,Chumikan,RU,54.7183,135.315,5.07,92,39,5.1,scattered clouds
571,Murakami,JP,38.2333,139.4833,50.41,94,100,8.68,overcast clouds
572,Port Hardy,CA,50.6996,-127.4199,41.0,93,40,8.05,scattered clouds
573,Forestville,US,38.8451,-76.875,66.0,23,1,12.66,clear sky
574,Pavino,RU,59.1139,46.1414,25.95,93,52,2.93,broken clouds
575,Moron,AR,-34.6534,-58.6198,80.01,55,4,1.99,clear sky
576,Hambantota,LK,6.1241,81.1185,78.8,78,0,4.61,clear sky
577,Ogbomosho,NG,8.133,4.25,100.85,20,45,1.9,scattered clouds
578,Prince Rupert,CA,54.3161,-130.3201,37.4,93,90,5.75,light rain
579,Vihti,FI,60.417,24.3197,43.0,56,59,14.0,broken clouds
580,Olinda,BR,-8.0089,-34.8553,82.4,65,40,8.05,scattered clouds
581,Daloa,CI,6.8774,-6.4502,88.5,49,71,4.81,broken clouds
582,Chara,RU,56.9064,118.2631,16.36,90,89,1.1,light snow
583,Khandyga,RU,62.6667,135.6,-26.54,100,32,1.34,scattered clouds
584,Clinton,US,42.587,-82.9199,57.99,43,1,5.75,clear sky
585,Prainha,BR,-1.8,-53.48,86.72,59,89,4.79,overcast clouds
586,Elat,IL,29.5581,34.9482,82.4,15,0,16.11,clear sky
587,Ajmer,IN,26.45,74.6333,83.84,12,0,6.2,clear sky
588,Salinopolis,BR,-0.6136,-47.3561,83.61,72,43,11.63,moderate rain
589,Maryborough,AU,-25.5333,152.7,73.0,97,100,5.99,light rain
590,Abha,SA,18.2164,42.5053,75.2,33,0,13.8,clear sky
591,El Vigia,VE,8.6219,-71.6506,80.8,84,100,5.17,overcast clouds
592,Itoman,JP,26.1247,127.6694,66.2,72,75,21.85,broken clouds
593,Zhurivka,UA,50.5028,31.7849,44.6,61,20,11.18,few clouds
594,Grand Gaube,MU,-20.0064,57.6608,81.0,74,3,5.99,clear sky
595,Kisanga,TZ,-7.4362,37.7034,74.79,93,92,2.17,moderate rain
